name,place_type,lat,lon,cost,address,nearby_wifi
BOB ACTON PARK,park,43.6865966358982,-79.2929057663657,free,45 William Hancox Ave,False
CHARLES STREET PARKETTE,park,43.6695843186376,-79.3811672970832,free,83 Charles St E,False
COLUMBUS PARKETTE,park,43.6509559895304,-79.4460214346792,free,1985 Dundas St W,False
MARKET LANE PARK,park,43.649751099758,-79.3724104650962,free,149 King St E,True
TORONTO SCULPTURE GARDEN,park,43.6498364266827,-79.3736612956797,free,115 King St E,False
MERRILL PARK,park,43.7034200934368,-79.5060978764317,free,5 Merrill Ave,False
BREADALBANE PARK,park,43.6638463286909,-79.3860028936044,free,30 Breadalbane St,False
MONSIGNOR FRASER COLLEGE PARK,park,43.6666189801274,-79.4134842482422,free,700 Markham St,False
JOSEPH TOUGH PARK,park,43.6747128251075,-79.3978367133261,free,246 Davenport Rd,False
COLONEL SAMUEL SMITH PARK,park,43.5932049049272,-79.5135835086796,free,3145 Lake Shore Blvd W,False
LAKE CRESCENT ROAD END PARKETTE,park,43.6074276523409,-79.4881465570028,free,2 Lake Cres,False
KEELE RESERVOIR,park,43.7795272574007,-79.4921263738518,free,4995 Keele St,False
LAWTON PARKETTE,park,43.6917963387489,-79.3954988736299,free,1600 Yonge St,False
TORONTO ISLANDS - WARD'S ISLAND PARK,park,43.6296021226557,-79.3550233695717,free,1 Centre Island Pk,False
WIGMORE PARK,park,43.7305127297612,-79.3133905165899,free,106 Wigmore Dr,False
LAWRENCE HEIGHTS PARK,park,43.7190933582307,-79.4428728548898,free,3 B Flemington Rd,False
DOWNSVIEW PARK AND LAWN BOWLING GREENS,park,43.7190723144671,-79.5125734946005,free,1629 Wilson Ave,True
PARLIAMENT SQUARE PARK,park,43.650014659321,-79.3627661947663,free,44 Parliament St,False
KIMBARK - COLDSTREAM RAVINE,park,43.7174160817301,-79.4163181123267,free,65 Coldstream Ave,False
MILTON BERGER PARK,park,43.7330277079687,-79.4477362257678,free,21 MONTE KWINTER CRT,False
34 HANNA AVENUE PARK,park,43.6382319256394,-79.4197219524482,free,34 HANNA AVE,False
LOVE PARK,park,43.6406938196058,-79.3798155002312,free,96 Queens Quay W,False
WOBURN PARK - SCARBOROUGH,park,43.7814853929352,-79.2276560142691,free,50 Dormington Dr,False
