HOOD_158,NEIGHBOURHOOD_158,OCC_YEAR,MCI_CATEGORY,count
007,Willowridge-Martingrove-Richview (7),2013,Assault,2
007,Willowridge-Martingrove-Richview (7),2013,Theft Over,1
007,Willowridge-Martingrove-Richview (7),2014,Assault,85
007,Willowridge-Martingrove-Richview (7),2014,Auto Theft,45
007,Willowridge-Martingrove-Richview (7),2014,Break and Enter,44
007,Willowridge-Martingrove-Richview (7),2014,Robbery,22
007,Willowridge-Martingrove-Richview (7),2014,Theft Over,4
007,Willowridge-Martingrove-Richview (7),2015,Assault,75
007,Willowridge-Martingrove-Richview (7),2015,Auto Theft,36
007,Willowridge-Martingrove-Richview (7),2015,Break and Enter,36
007,Willowridge-Martingrove-Richview (7),2015,Robbery,16
007,Willowridge-Martingrove-Richview (7),2015,Theft Over,4
007,Willowridge-Martingrove-Richview (7),2016,Assault,102
007,Willowridge-Martingrove-Richview (7),2016,Auto Theft,50
007,Willowridge-Martingrove-Richview (7),2016,Break and Enter,34
007,Willowridge-Martingrove-Richview (7),2016,Robbery,62
007,Willowridge-Martingrove-Richview (7),2016,Theft Over,4
007,Willowridge-Martingrove-Richview (7),2017,Assault,106
007,Willowridge-Martingrove-Richview (7),2017,Auto Theft,43
007,Willowridge-Martingrove-Richview (7),2017,Break and Enter,39
007,Willowridge-Martingrove-Richview (7),2017,Robbery,22
007,Willowridge-Martingrove-Richview (7),2017,Theft Over,2
007,Willowridge-Martingrove-Richview (7),2018,Assault,74
007,Willowridge-Martingrove-Richview (7),2018,Auto Theft,52
007,Willowridge-Martingrove-Richview (7),2018,Break and Enter,66
007,Willowridge-Martingrove-Richview (7),2018,Robbery,17
007,Willowridge-Martingrove-Richview (7),2018,Theft Over,4
007,Willowridge-Martingrove-Richview (7),2019,Assault,93
007,Willowridge-Martingrove-Richview (7),2019,Auto Theft,42
007,Willowridge-Martingrove-Richview (7),2019,Break and Enter,43
007,Willowridge-Martingrove-Richview (7),2019,Robbery,38
007,Willowridge-Martingrove-Richview (7),2019,Theft Over,4
007,Willowridge-Martingrove-Richview (7),2020,Assault,99
007,Willowridge-Martingrove-Richview (7),2020,Auto Theft,70
007,Willowridge-Martingrove-Richview (7),2020,Break and Enter,20
007,Willowridge-Martingrove-Richview (7),2020,Robbery,15
007,Willowridge-Martingrove-Richview (7),2020,Theft Over,4
007,Willowridge-Martingrove-Richview (7),2021,Assault,58
007,Willowridge-Martingrove-Richview (7),2021,Auto Theft,58
007,Willowridge-Martingrove-Richview (7),2021,Break and Enter,22
007,Willowridge-Martingrove-Richview (7),2021,Robbery,6
007,Willowridge-Martingrove-Richview (7),2021,Theft Over,4
007,Willowridge-Martingrove-Richview (7),2022,Assault,96
007,Willowridge-Martingrove-Richview (7),2022,Auto Theft,107
007,Willowridge-Martingrove-Richview (7),2022,Break and Enter,27
007,Willowridge-Martingrove-Richview (7),2022,Robbery,15
007,Willowridge-Martingrove-Richview (7),2022,Theft Over,4
007,Willowridge-Martingrove-Richview (7),2023,Assault,125
007,Willowridge-Martingrove-Richview (7),2023,Auto Theft,108
007,Willowridge-Martingrove-Richview (7),2023,Break and Enter,31
007,Willowridge-Martingrove-Richview (7),2023,Robbery,17
007,Willowridge-Martingrove-Richview (7),2023,Theft Over,4
007,Willowridge-Martingrove-Richview (7),2024,Assault,101
007,Willowridge-Martingrove-Richview (7),2024,Auto Theft,81
007,Willowridge-Martingrove-Richview (7),2024,Break and Enter,42
007,Willowridge-Martingrove-Richview (7),2024,Robbery,14
007,Willowridge-Martingrove-Richview (7),2024,Theft Over,10
007,Willowridge-Martingrove-Richview (7),2025,Assault,64
007,Willowridge-Martingrove-Richview (7),2025,Auto Theft,59
007,Willowridge-Martingrove-Richview (7),2025,Break and Enter,29
007,Willowridge-Martingrove-Richview (7),2025,Robbery,8
007,Willowridge-Martingrove-Richview (7),2025,Theft Over,16
008,Humber Heights-Westmount (8),2002,Assault,2
008,Humber Heights-Westmount (8),2012,Assault,1
008,Humber Heights-Westmount (8),2014,Assault,24
008,Humber Heights-Westmount (8),2014,Auto Theft,27
008,Humber Heights-Westmount (8),2014,Break and Enter,19
008,Humber Heights-Westmount (8),2014,Robbery,12
008,Humber Heights-Westmount (8),2014,Theft Over,1
008,Humber Heights-Westmount (8),2015,Assault,33
008,Humber Heights-Westmount (8),2015,Auto Theft,26
008,Humber Heights-Westmount (8),2015,Break and Enter,20
008,Humber Heights-Westmount (8),2015,Robbery,6
008,Humber Heights-Westmount (8),2015,Theft Over,2
008,Humber Heights-Westmount (8),2016,Assault,32
008,Humber Heights-Westmount (8),2016,Auto Theft,17
008,Humber Heights-Westmount (8),2016,Break and Enter,24
008,Humber Heights-Westmount (8),2016,Robbery,11
008,Humber Heights-Westmount (8),2016,Theft Over,4
008,Humber Heights-Westmount (8),2017,Assault,39
008,Humber Heights-Westmount (8),2017,Auto Theft,25
008,Humber Heights-Westmount (8),2017,Break and Enter,32
008,Humber Heights-Westmount (8),2017,Robbery,5
008,Humber Heights-Westmount (8),2017,Theft Over,6
008,Humber Heights-Westmount (8),2018,Assault,37
008,Humber Heights-Westmount (8),2018,Auto Theft,15
008,Humber Heights-Westmount (8),2018,Break and Enter,27
